"","date","time","subject","blocknum_and_trialnum","trialcode","primestim","targetstim","correct","latency","latency_prob","proportion_fast_trials_amp","exclude_amp_performance","participant_count","exclude_participant"
"1","23.06.22",11:55:36,504546409,"2_2","prime_positive",1,61,0,161,FALSE,0,"include",8,"exclude"
"2","23.06.22",11:55:36,504546409,"2_3","prime_positive",2,4,0,328,FALSE,0,"include",8,"exclude"
"3","23.06.22",11:55:36,504546409,"2_4","prime_positive",4,54,1,220,FALSE,0,"include",8,"exclude"
"4","23.06.22",11:55:36,504546409,"2_5","prime_negative",1,33,1,308,FALSE,0,"include",8,"exclude"
"5","23.06.22",11:55:36,504546409,"2_6","prime_negative",3,71,1,235,FALSE,0,"include",8,"exclude"
"6","23.06.22",11:55:36,504546409,"2_7","prime_negative",4,37,1,224,FALSE,0,"include",8,"exclude"
"7","23.06.22",11:55:36,504546409,"2_8","prime_negative",2,19,0,369,FALSE,0,"include",8,"exclude"
"8","23.06.22",11:55:36,504546409,"2_9","prime_positive",4,56,1,1105,FALSE,0,"include",8,"exclude"
"9","23.06.22",12:23:51,994692692,"2_2","prime_positive",1,23,0,1611,FALSE,0,"include",72,"include"
"10","23.06.22",12:23:51,994692692,"2_3","prime_negative",3,33,0,627,FALSE,0,"include",72,"include"
"11","23.06.22",12:23:51,994692692,"2_4","prime_negative",4,21,1,865,FALSE,0,"include",72,"include"
"12","23.06.22",12:23:51,994692692,"2_5","prime_negative",1,60,1,766,FALSE,0,"include",72,"include"
"13","23.06.22",12:23:51,994692692,"2_6","prime_positive",2,30,0,582,FALSE,0,"include",72,"include"
"14","23.06.22",12:23:51,994692692,"2_7","prime_negative",1,16,0,495,FALSE,0,"include",72,"include"
"15","23.06.22",12:23:51,994692692,"2_8","prime_negative",4,61,1,869,FALSE,0,"include",72,"include"
"16","23.06.22",12:23:51,994692692,"2_9","prime_positive",3,24,0,699,FALSE,0,"include",72,"include"
"17","23.06.22",12:23:51,994692692,"2_10","prime_positive",3,11,1,971,FALSE,0,"include",72,"include"
"18","23.06.22",12:23:51,994692692,"2_11","prime_negative",2,56,0,588,FALSE,0,"include",72,"include"
"19","23.06.22",12:23:51,994692692,"2_12","prime_negative",3,28,0,587,FALSE,0,"include",72,"include"
"20","23.06.22",12:23:51,994692692,"2_13","prime_negative",4,68,1,615,FALSE,0,"include",72,"include"
"21","23.06.22",12:23:51,994692692,"2_14","prime_positive",4,38,1,804,FALSE,0,"include",72,"include"
